detector,descriptor,image_id, ttc
AKAZE,ORB,16,8.663637
AKAZE,ORB,17,11.359588
AKAZE,ORB,18,16.739000
SIFT,ORB,0,nan
SIFT,ORB,1,18.688148
SIFT,ORB,2,21.687883
SIFT,ORB,3,22.160900
SIFT,ORB,4,27.038198
SIFT,ORB,5,9.561406
SIFT,ORB,6,6.569574
SIFT,ORB,7,21.212633
SIFT,ORB,8,15.054897
SIFT,ORB,9,382.457301
SIFT,ORB,10,11.333345
SIFT,ORB,11,12.246496
SIFT,ORB,12,22.432117
SIFT,ORB,13,12.680498
SIFT,ORB,14,8.992116
SIFT,ORB,15,25.662754
SIFT,ORB,16,10.513886
SIFT,ORB,17,10.456090
SIFT,ORB,18,21.509412
FAST,FREAK,0,nan
FAST,FREAK,1,11.395409
FAST,FREAK,2,12.586787
FAST,FREAK,3,10.461052
FAST,FREAK,4,10.625163
FAST,FREAK,5,nan
FAST,FREAK,6,10.423287
FAST,FREAK,7,5.406023
FAST,FREAK,8,nan
FAST,FREAK,9,nan
FAST,FREAK,10,10.509650
FAST,FREAK,11,nan
FAST,FREAK,12,10.208781
FAST,FREAK,13,9.265764
FAST,FREAK,14,8.500000
FAST,FREAK,15,nan
FAST,FREAK,16,11.716348
FAST,FREAK,17,8.077644
FAST,FREAK,18,41.542560
BRISK,FREAK,0,nan
BRISK,FREAK,1,15.827411
BRISK,FREAK,2,20.616126
BRISK,FREAK,3,13.113433
BRISK,FREAK,4,24.283530
BRISK,FREAK,5,19.804246
BRISK,FREAK,6,45.392497
BRISK,FREAK,7,17.018788
BRISK,FREAK,8,26.838068
BRISK,FREAK,9,15.764857
BRISK,FREAK,10,8.759798
BRISK,FREAK,11,27.997246
BRISK,FREAK,12,7.853087
BRISK,FREAK,13,8.874291
BRISK,FREAK,14,55.982233
BRISK,FREAK,15,18.744980
BRISK,FREAK,16,7.309420
BRISK,FREAK,17,7.658715
BRISK,FREAK,18,6.944605
ORB,FREAK,0,nan
ORB,FREAK,1,nan
ORB,FREAK,2,nan
ORB,FREAK,3,nan
ORB,FREAK,4,nan
ORB,FREAK,5,nan
ORB,FREAK,6,nan
ORB,FREAK,7,4.161248
ORB,FREAK,8,6.680010
ORB,FREAK,9,nan
ORB,FREAK,10,nan
ORB,FREAK,11,nan
ORB,FREAK,12,24.652864
ORB,FREAK,13,7.280499
ORB,FREAK,14,nan
ORB,FREAK,15,22.054570
ORB,FREAK,16,nan
ORB,FREAK,17,4.058546
ORB,FREAK,18,nan
AKAZE,FREAK,0,nan
AKAZE,FREAK,1,10.217995
AKAZE,FREAK,2,19.273584
AKAZE,FREAK,3,12.000415
AKAZE,FREAK,4,28.955419
AKAZE,FREAK,5,14.376628
AKAZE,FREAK,6,30.455416
AKAZE,FREAK,7,38.937969
AKAZE,FREAK,8,19.295695
AKAZE,FREAK,9,29.805353
AKAZE,FREAK,10,21.329267
AKAZE,FREAK,11,13.357967
AKAZE,FREAK,12,38.141654
AKAZE,FREAK,13,10.003729
AKAZE,FREAK,14,12.149575
AKAZE,FREAK,15,12.131373
AKAZE,FREAK,16,6.678726
AKAZE,FREAK,17,7.190486
AKAZE,FREAK,18,7.647836
SIFT,FREAK,0,nan
SIFT,FREAK,1,10.536731
SIFT,FREAK,2,14.925313
SIFT,FREAK,3,162.215453
SIFT,FREAK,4,19.224286
SIFT,FREAK,5,16.761584
SIFT,FREAK,6,8.878201
SIFT,FREAK,7,36.341476
SIFT,FREAK,8,15.691853
SIFT,FREAK,9,176.211081
SIFT,FREAK,10,12.200354
SIFT,FREAK,11,11.380863
SIFT,FREAK,12,35.633303
SIFT,FREAK,13,7.269274
SIFT,FREAK,14,8.711969
SIFT,FREAK,15,9.763501
SIFT,FREAK,16,10.828918
SIFT,FREAK,17,9.968351
SIFT,FREAK,18,8.669932
AKAZE,AKAZE,0,nan
AKAZE,AKAZE,1,12.000407
AKAZE,AKAZE,2,18.230683
AKAZE,AKAZE,3,15.130029
AKAZE,AKAZE,4,17.843867
AKAZE,AKAZE,5,18.344487
AKAZE,AKAZE,6,16.378027
AKAZE,AKAZE,7,27.130279
AKAZE,AKAZE,8,11.216857
AKAZE,AKAZE,9,25.469183
AKAZE,AKAZE,10,10.115600
AKAZE,AKAZE,11,14.348800
AKAZE,AKAZE,12,16.812536
AKAZE,AKAZE,13,15.623235
AKAZE,AKAZE,14,11.101182
AKAZE,AKAZE,15,12.414291
